Timestamp,Name,Email,Wallet Address,Network Selection,Rate experience,What feature do you think is missing?,Did you encounter any bugs or usability issues?,Would you recommend VeilSplit to others?
2026-07-16T13:12:00.000Z,Aarav Sharma,aaravsharma1994@gmail.com,GDWE3AJB67FJWMQ6RM7JQ6KF6HSA42VYDGFYJNGVT7SQZPUAB6MXEZRW,Testnet,5,Maybe a contact list to save friends wallet addresses easily,No,yes
2026-07-16T13:15:00.000Z,Priya Patel,priya.patel89@gmail.com,GDWESB7XYO3VWOCB6HXI7XGUYUQV2GIBS77X7WDYMRNWKCTDL2BHWNFF,Testnet,5,Would love to see some automatic recurring billing features like monthly rent splits,No,yes
2026-07-16T13:18:00.000Z,Rohan Singh,rohan.ksingh92@gmail.com,GC4P5YRF5XZMIG7FYDTC7U5PPSDV7JAI4QKFRIQKN64HPZ5OQLFZPHU3,Testnet,4,A way to see the history of previous settlements directly inside the app dashboard,No,yes
2026-07-16T13:21:00.000Z,Neha Gupta,nehagupta.mumbai@gmail.com,GADYMPTBZEISFWUQGEHHSF335TLPWBJMOYQRHYE4WDG4KMTPSSNGHXX6,Testnet,5,Integration with popular messaging apps to send payment links directly,No,yes
2026-07-16T13:24:00.000Z,Aditya Verma,adityaverma07@gmail.com,GBKMDQTIG4GGTSEEPT3DITGL2HRY7OQBXNIQLH4J7Q3XBUTY455TRH7P,Testnet,5,An address book option so I do not have to copy paste long public keys every time,No,yes
2026-07-16T13:27:00.000Z,Pooja Desai,pdesai1996@gmail.com,GBICFZMA3FFFLYBOKUUOPWQFR7SPVG3ZH4Y2RLB7IZC2HBHEHK6TIDAY,Testnet,4,Add support for multiple assets like USDC instead of just XLM,No,yes
2026-07-16T13:30:00.000Z,Vikram Reddy,vikramreddytech@gmail.com,GD4HNVS6H6GIKQ22UCIY63FURGGHYMZMYLFGTJTSOCP6SHP44PB5YD6F,Testnet,5,Maybe an escrow system to hold payments until everyone pays their share,No,yes
2026-07-16T13:33:00.000Z,Sneha Joshi,snehajoshiarts@gmail.com,GD2M7VN26VIGFXIWDR2CHWBMHBDUTPQ7JJA34YRCSB2S55YGQWYHFNRO,Testnet,4,Show conversion rate to USD for easier understanding of payment values,No,yes
2026-07-16T13:36:00.000Z,Karan Malhotra,karanm1990@gmail.com,GBPDL4WJED7CO4E4EC7LTBP7DDBIRRQQPDVEBFDDQ6NBHI5B5TOTBK37,Testnet,5,Would be great if we could generate a QR code for payments,No,yes
2026-07-16T13:39:00.000Z,Anjali Mehta,anjalimehta99@gmail.com,GCJRWN3KVAL5GG2VUU3UXUVTWOEJXCN27JATCTLDTUHQZ5E35OC6EQJB,Testnet,5,An easier search bar to find my group split history,No,yes
